"Gen","Expresión_Media","Log2_FoldChange","P_Valor_Ajustado"
"UNC5B-AS1",9.19482876275467,6.72443157372619,0.00550820156139473
"CDH7",8.33734268939553,6.58345331013281,0.00723827929587788
"ABCC9",7.31178926952797,6.39439519438241,0.0108687125978931
"COL21A1",107.131920958145,6.04903807153186,0.00566660082647534
"KCNA2",5.46820152542389,5.97580069287949,0.017915971529723
"COL14A1",195.496006045409,5.81552539600486,0.00566660082647534
"FAP",33.9743476122383,5.68056002038079,0.0422525348844914
"LRRC4C",14.879164715459,5.58677952235631,0.01126388215474
"AMPH",4.12023288519316,5.5672399701958,0.04154484481843
"TNNI1",7.64838145498927,5.47051112245835,0.036095928685514
"FRG1",19.6374613959544,-3.2053031114173,0.0109062589618661
"CHAC1",214.20369873868,-0.998951355850816,0.0435247336190105
"FUT1",177.772501544741,-0.95828948715393,0.0147057725947836
"ZC3H8",186.243471284113,-0.802860644802768,0.04154484481843
"CDT1",1913.83961661869,-0.794042808064882,0.0309211930311673
"PPP1R27",1553.06465687206,-0.768624421752655,0.009204039458064
"PSAT1",1703.63495697829,-0.700472154676364,0.0379711425237626
"C19orf38",308.974953031843,-0.695906582988049,0.042898183002285
"LOC124907726",170.898700812624,-0.684953823590503,0.0445625907285593
"GNA15",1806.36261463997,-0.60209578039119,0.0420651677645237
